0,1
Dataset\words\a06\a06-141\a06-141-04-06.png,","
Dataset\words\e02\e02-074\e02-074-10-05.png,away
Dataset\words\c04\c04-116\c04-116-00-16.png,well
Dataset\words\c03\c03-021b\c03-021b-06-05.png,-
Dataset\words\b01\b01-038\b01-038-09-06.png,the
Dataset\words\b02\b02-035\b02-035-06-03.png,what
Dataset\words\a04\a04-039\a04-039-02-02.png,President
Dataset\words\c03\c03-081d\c03-081d-09-01.png,performance
Dataset\words\a05\a05-104\a05-104-01-01.png,double
Dataset\words\b04\b04-040\b04-040-03-05.png,sympathy
Dataset\words\a01\a01-038\a01-038-07-05.png,was
Dataset\words\a01\a01-068u\a01-068u-08-01.png,towards
Dataset\words\a05\a05-062\a05-062-05-05.png,could
Dataset\words\e04\e04-015\e04-015-01-04.png,front
Dataset\words\e04\e04-091\e04-091-00-08.png,up
Dataset\words\a03\a03-040\a03-040-01-09.png,since
Dataset\words\a04\a04-047\a04-047-00-07.png,Union
Dataset\words\c06\c06-043\c06-043-06-02.png,""""
Dataset\words\e06\e06-053\e06-053-03-03.png,and
Dataset\words\b06\b06-049\b06-049-03-03.png,had
Dataset\words\a01\a01-003u\a01-003u-08-00.png,House
Dataset\words\d06\d06-027\d06-027-06-04.png,we
Dataset\words\c03\c03-003a\c03-003a-03-08.png,the
Dataset\words\d07\d07-082\d07-082-00-01.png,Actually
Dataset\words\c06\c06-039\c06-039-07-04.png,mouse
Dataset\words\b04\b04-181\b04-181-02-07.png,","
Dataset\words\c01\c01-066\c01-066-06-03.png,vision
Dataset\words\b02\b02-035\b02-035-03-07.png,safety
Dataset\words\b04\b04-107\b04-107-04-01.png,.
Dataset\words\e02\e02-014\e02-014-02-02.png,newly
Dataset\words\a04\a04-069\a04-069-02-02.png,danger
Dataset\words\e02\e02-117\e02-117-01-07.png,kitchen
Dataset\words\b04\b04-187\b04-187-06-08.png,They
Dataset\words\e06\e06-049\e06-049-03-06.png,are
Dataset\words\c06\c06-052\c06-052-01-05.png,of
Dataset\words\e01\e01-014\e01-014-05-03.png,out
Dataset\words\a01\a01-053x\a01-053x-02-00.png,Government
Dataset\words\a02\a02-057\a02-057-07-07.png,committee
Dataset\words\b01\b01-027\b01-027-03-06.png,country
Dataset\words\e04\e04-004\e04-004-00-05.png,side
Dataset\words\a01\a01-049x\a01-049x-01-01.png,off
Dataset\words\a03\a03-089\a03-089-02-03.png,the
Dataset\words\d01\d01-019\d01-019-01-07.png,textual
Dataset\words\a02\a02-086\a02-086-06-02.png,violence
Dataset\words\a01\a01-020x\a01-020x-08-00.png,of
Dataset\words\e01\e01-025\e01-025-07-03.png,modern
Dataset\words\a02\a02-020\a02-020-02-03.png,and
Dataset\words\a02\a02-020\a02-020-02-07.png,MR.
Dataset\words\a04\a04-054\a04-054-05-02.png,why
Dataset\words\a01\a01-007u\a01-007u-04-00.png,Labour
Dataset\words\e01\e01-119\e01-119-02-04.png,3
Dataset\words\e02\e02-094\e02-094-08-07.png,the
Dataset\words\b06\b06-064\b06-064-05-02.png,are
Dataset\words\c04\c04-061\c04-061-01-08.png,They
Dataset\words\c04\c04-050\c04-050-07-01.png,farce
Dataset\words\d06\d06-011\d06-011-08-05.png,situations
Dataset\words\a01\a01-011u\a01-011u-04-00.png,meet
Dataset\words\a01\a01-102u\a01-102u-07-03.png,the
Dataset\words\b01\b01-000\b01-000-06-02.png,The
Dataset\words\a06\a06-051\a06-051-06-02.png,more
Dataset\words\b06\b06-110\b06-110-04-03.png,whom
Dataset\words\c02\c02-059\c02-059-09-05.png,seem
Dataset\words\a01\a01-038x\a01-038x-02-06.png,Government
Dataset\words\a05\a05-062\a05-062-00-02.png,vigour
Dataset\words\b03\b03-025\b03-025-03-05.png,What
Dataset\words\c04\c04-156\c04-156-01-09.png,chosen
Dataset\words\a02\a02-098\a02-098-05-02.png,with
Dataset\words\e04\e04-095\e04-095-02-07.png,Ensure
Dataset\words\b01\b01-000\b01-000-01-04.png,South
Dataset\words\c06\c06-128\c06-128-01-02.png,household
Dataset\words\c04\c04-008\c04-008-02-08.png,","
Dataset\words\c03\c03-087c\c03-087c-00-06.png,distance
Dataset\words\a04\a04-023\a04-023-04-03.png,a
Dataset\words\a04\a04-054\a04-054-03-05.png,weapon
Dataset\words\a01\a01-043\a01-043-04-04.png,anti-Negro
Dataset\words\e06\e06-010\e06-010-01-11.png,But
Dataset\words\b01\b01-038\b01-038-02-03.png,brighter
Dataset\words\b05\b05-062\b05-062-04-06.png,interviewed
Dataset\words\b06\b06-049\b06-049-03-05.png,chosen
Dataset\words\a05\a05-094\a05-094-08-06.png,Prime
Dataset\words\a03\a03-050\a03-050-02-06.png,sort
Dataset\words\e04\e04-095\e04-095-06-08.png,fit
Dataset\words\c03\c03-003e\c03-003e-07-05.png,but
Dataset\words\d06\d06-003\d06-003-04-08.png,be
Dataset\words\b03\b03-092\b03-092-01-04.png,opportunity
Dataset\words\e01\e01-107\e01-107-08-02.png,attractive
Dataset\words\a02\a02-000\a02-000-03-03.png,to
Dataset\words\a05\a05-000\a05-000-05-02.png,men
Dataset\words\a02\a02-057\a02-057-02-04.png,pretext
Dataset\words\b01\b01-089\b01-089-00-07.png,War
Dataset\words\a01\a01-091u\a01-091u-01-03.png,were
Dataset\words\a06\a06-025\a06-025-00-02.png,TUC
Dataset\words\c04\c04-023\c04-023-02-06.png,she
Dataset\words\c02\c02-000\c02-000-04-01.png,""""
Dataset\words\a01\a01-003x\a01-003x-07-05.png,any
Dataset\words\b06\b06-056\b06-056-03-04.png,the
Dataset\words\a01\a01-026u\a01-026u-05-00.png,boycotted
Dataset\words\b05\b05-058\b05-058-02-07.png,that
Dataset\words\a04\a04-085\a04-085-09-03.png,Russell
Dataset\words\d06\d06-096\d06-096-03-08.png,industry
Dataset\words\a03\a03-014\a03-014-04-03.png,return
Dataset\words\a01\a01-003u\a01-003u-08-06.png,and
Dataset\words\b06\b06-071\b06-071-01-03.png,a
Dataset\words\e04\e04-068\e04-068-00-09.png,make
Dataset\words\b05\b05-050\b05-050-06-03.png,creeping
Dataset\words\b01\b01-118\b01-118-07-05.png,""""
Dataset\words\a01\a01-049x\a01-049x-06-02.png,","
Dataset\words\a02\a02-027\a02-027-07-07.png,on
Dataset\words\a03\a03-059\a03-059-02-01.png,and
Dataset\words\b02\b02-097\b02-097-07-08.png,see
Dataset\words\e06\e06-033\e06-033-04-03.png,on
Dataset\words\e01\e01-059\e01-059-01-04.png,fine
Dataset\words\a04\a04-003\a04-003-02-07.png,recent
Dataset\words\d06\d06-113\d06-113-04-02.png,hand
Dataset\words\c03\c03-084a\c03-084a-03-07.png,""""
Dataset\words\e02\e02-000\e02-000-02-01.png,frequently
Dataset\words\a03\a03-043\a03-043-06-00.png,of
Dataset\words\a01\a01-011\a01-011-04-06.png,elected
Dataset\words\d07\d07-089\d07-089-04-05.png,proof
Dataset\words\c04\c04-056\c04-056-06-06.png,the
Dataset\words\d06\d06-096\d06-096-04-02.png,be
Dataset\words\a01\a01-003u\a01-003u-07-05.png,that
Dataset\words\a04\a04-089\a04-089-04-02.png,of
Dataset\words\b06\b06-093\b06-093-09-02.png,it
Dataset\words\a04\a04-085\a04-085-07-04.png,submarine
Dataset\words\a02\a02-046\a02-046-05-01.png,them
Dataset\words\c03\c03-000b\c03-000b-05-04.png,this
Dataset\words\e01\e01-014\e01-014-01-09.png,paying
Dataset\words\a02\a02-067\a02-067-05-03.png,Lord
Dataset\words\c06\c06-052\c06-052-01-07.png,year
Dataset\words\c04\c04-035\c04-035-07-05.png,laughter
Dataset\words\d05\d05-030\d05-030-02-05.png,Laud
Dataset\words\c06\c06-043\c06-043-04-02.png,the
Dataset\words\e02\e02-025\e02-025-02-04.png,the
Dataset\words\d07\d07-093\d07-093-04-05.png,both
Dataset\words\a06\a06-075\a06-075-05-03.png,""""
Dataset\words\d01\d01-085\d01-085-02-00.png,original
Dataset\words\b01\b01-136\b01-136-03-02.png,again
Dataset\words\c03\c03-016e\c03-016e-09-05.png,who
Dataset\words\c04\c04-023\c04-023-04-03.png,.
Dataset\words\e01\e01-035\e01-035-07-03.png,lace
Dataset\words\a05\a05-022\a05-022-06-02.png,to
Dataset\words\a01\a01-087u\a01-087u-08-01.png,must
Dataset\words\e06\e06-030\e06-030-08-04.png,drift
Dataset\words\b06\b06-015\b06-015-08-00.png,Belgium
Dataset\words\d04\d04-111\d04-111-02-04.png,)
Dataset\words\a02\a02-086\a02-086-05-06.png,statements
Dataset\words\d04\d04-021\d04-021-05-00.png,refused
Dataset\words\c04\c04-050\c04-050-03-08.png,Mary
Dataset\words\c03\c03-016d\c03-016d-00-05.png,the
Dataset\words\a04\a04-092\a04-092-04-06.png,the
Dataset\words\d04\d04-075\d04-075-03-03.png,going-out
Dataset\words\e06\e06-030\e06-030-03-07.png,of
Dataset\words\d04\d04-066\d04-066-08-05.png,will
Dataset\words\c03\c03-016e\c03-016e-05-03.png,when
Dataset\words\c03\c03-007a\c03-007a-03-00.png,wet
Dataset\words\d06\d06-041\d06-041-01-03.png,the
Dataset\words\a03\a03-011\a03-011-02-06.png,Africa
Dataset\words\c06\c06-058\c06-058-04-01.png,in
Dataset\words\c03\c03-081c\c03-081c-06-08.png,most
Dataset\words\a04\a04-089\a04-089-02-01.png,notice
Dataset\words\b03\b03-104\b03-104-07-07.png,of
Dataset\words\e02\e02-074\e02-074-01-01.png,many
Dataset\words\a02\a02-078\a02-078-07-04.png,supporters
Dataset\words\c02\c02-026\c02-026-00-06.png,give
Dataset\words\c06\c06-128\c06-128-04-05.png,she
Dataset\words\c02\c02-059\c02-059-04-06.png,honours
Dataset\words\a01\a01-030\a01-030-06-06.png,to
Dataset\words\a04\a04-103\a04-103-08-07.png,.
Dataset\words\e06\e06-006\e06-006-01-04.png,inevitably
Dataset\words\e04\e04-099\e04-099-03-01.png,of
Dataset\words\a03\a03-006\a03-006-02-03.png,In
Dataset\words\b05\b05-067\b05-067-03-02.png,triangle
Dataset\words\c04\c04-160\c04-160-04-05.png,He
Dataset\words\c03\c03-021d\c03-021d-07-01.png,his
Dataset\words\c02\c02-007\c02-007-00-00.png,In
Dataset\words\c04\c04-075\c04-075-06-09.png,done
Dataset\words\a01\a01-063x\a01-063x-01-03.png,the
Dataset\words\c06\c06-128\c06-128-07-05.png,later
Dataset\words\a06\a06-070\a06-070-06-02.png,British
Dataset\words\d06\d06-104\d06-104-02-05.png,one
Dataset\words\a01\a01-020\a01-020-01-06.png,had
Dataset\words\b06\b06-015\b06-015-09-01.png,British
Dataset\words\b06\b06-079\b06-079-06-01.png,remain
Dataset\words\c04\c04-028\c04-028-06-01.png,.
Dataset\words\c06\c06-011\c06-011-05-00.png,to
Dataset\words\c03\c03-003b\c03-003b-02-00.png,again
Dataset\words\c06\c06-106\c06-106-05-06.png,as
Dataset\words\a01\a01-014u\a01-014u-07-03.png,his
Dataset\words\e04\e04-022\e04-022-03-09.png,correct
Dataset\words\c02\c02-007\c02-007-02-05.png,these
Dataset\words\d04\d04-075\d04-075-05-04.png,.
Dataset\words\e02\e02-086\e02-086-07-04.png,but
Dataset\words\a05\a05-099\a05-099-05-01.png,could
Dataset\words\b06\b06-032\b06-032-04-00.png,helped
Dataset\words\e07\e07-000\e07-000-04-07.png,rank
Dataset\words\d05\d05-030\d05-030-04-00.png,mutual
Dataset\words\c03\c03-007c\c03-007c-00-08.png,taken
Dataset\words\d04\d04-111\d04-111-06-03.png,spiritual
Dataset\words\b06\b06-075\b06-075-09-04.png,for
Dataset\words\b04\b04-047\b04-047-01-00.png,be
Dataset\words\a05\a05-000\a05-000-03-06.png,to
Dataset\words\a06\a06-128\a06-128-02-00.png,in
Dataset\words\a03\a03-011\a03-011-00-00.png,But
Dataset\words\a05\a05-073\a05-073-07-06.png,to
Dataset\words\b01\b01-084\b01-084-06-02.png,adequate
Dataset\words\a04\a04-010\a04-010-00-07.png,the
Dataset\words\c01\c01-066\c01-066-03-08.png,turning
Dataset\words\c03\c03-016a\c03-016a-03-01.png,slatternly
Dataset\words\d04\d04-008\d04-008-02-05.png,These
Dataset\words\c03\c03-007f\c03-007f-08-02.png,of
Dataset\words\c06\c06-116\c06-116-09-02.png,the
Dataset\words\b01\b01-027\b01-027-01-05.png,the
Dataset\words\a04\a04-006\a04-006-00-04.png,Macmillan
Dataset\words\a02\a02-037\a02-037-06-07.png,Thus
Dataset\words\c03\c03-000c\c03-000c-04-01.png,with
Dataset\words\c06\c06-103\c06-103-07-03.png,not
Dataset\words\b01\b01-132\b01-132-06-03.png,that
Dataset\words\a01\a01-014x\a01-014x-05-04.png,through
Dataset\words\b01\b01-127\b01-127-04-01.png,to
Dataset\words\a06\a06-114\a06-114-08-01.png,spending
Dataset\words\a02\a02-102\a02-102-00-05.png,Kabaka
Dataset\words\c04\c04-156\c04-156-00-06.png,the
Dataset\words\a04\a04-081\a04-081-07-01.png,industrial
Dataset\words\c03\c03-096e\c03-096e-02-08.png,effective
Dataset\words\e04\e04-011\e04-011-02-08.png,is
Dataset\words\c03\c03-081c\c03-081c-03-03.png,she
Dataset\words\c03\c03-003b\c03-003b-04-00.png,background
Dataset\words\a02\a02-086\a02-086-03-00.png,Sir
Dataset\words\c06\c06-058\c06-058-01-07.png,glass
Dataset\words\a01\a01-030x\a01-030x-04-03.png,an
Dataset\words\c03\c03-021c\c03-021c-03-05.png,as
Dataset\words\a05\a05-108\a05-108-00-05.png,comparative
Dataset\words\c04\c04-080\c04-080-01-07.png,and
Dataset\words\d04\d04-021\d04-021-01-02.png,readable
Dataset\words\c04\c04-050\c04-050-08-05.png,field
Dataset\words\a06\a06-100\a06-100-04-01.png,by
Dataset\words\a05\a05-080\a05-080-09-00.png,hopeful
Dataset\words\d01\d01-019\d01-019-01-04.png,based
Dataset\words\a01\a01-038x\a01-038x-00-05.png,Rhodesian
Dataset\words\a01\a01-049\a01-049-06-07.png,session
Dataset\words\d03\d03-112\d03-112-01-01.png,(
Dataset\words\d05\d05-040\d05-040-05-00.png,table
Dataset\words\c04\c04-139\c04-139-01-10.png,is
Dataset\words\a01\a01-030x\a01-030x-04-01.png,Britain
Dataset\words\b06\b06-004\b06-004-06-00.png,providing
Dataset\words\b04\b04-187\b04-187-06-02.png,Barry
Dataset\words\a01\a01-003u\a01-003u-10-04.png,""""
Dataset\words\c06\c06-058\c06-058-02-07.png,see
Dataset\words\b04\b04-089\b04-089-03-02.png,.
Dataset\words\a04\a04-072\a04-072-09-02.png,a
Dataset\words\c03\c03-016c\c03-016c-04-06.png,sordid
Dataset\words\c06\c06-111\c06-111-04-01.png,attached
Dataset\words\c06\c06-138\c06-138-04-01.png,on
Dataset\words\c03\c03-000d\c03-000d-03-02.png,directed
Dataset\words\a04\a04-003\a04-003-00-01.png,arose
Dataset\words\a06\a06-064\a06-064-06-03.png,.
Dataset\words\a03\a03-080\a03-080-09-05.png,appropriated
Dataset\words\c06\c06-005\c06-005-01-02.png,;
Dataset\words\c04\c04-008\c04-008-02-05.png,this
Dataset\words\c03\c03-000f\c03-000f-06-00.png,advantages
Dataset\words\b05\b05-055\b05-055-04-06.png,as
Dataset\words\d06\d06-050\d06-050-01-10.png,-
Dataset\words\c02\c02-000\c02-000-04-05.png,Malachias
Dataset\words\c04\c04-066\c04-066-07-02.png,things
Dataset\words\b01\b01-009\b01-009-01-04.png,He
Dataset\words\c03\c03-007e\c03-007e-04-03.png,public
Dataset\words\b01\b01-000\b01-000-06-05.png,touch
Dataset\words\a01\a01-030\a01-030-03-04.png,an
Dataset\words\b06\b06-000\b06-000-00-11.png,","
Dataset\words\b04\b04-034\b04-034-01-04.png,Go
Dataset\words\d06\d06-041\d06-041-03-00.png,body
Dataset\words\c03\c03-087f\c03-087f-06-01.png,not
Dataset\words\a04\a04-103\a04-103-05-06.png,effective
Dataset\words\a05\a05-039\a05-039-06-06.png,Bloem-
Dataset\words\a01\a01-020u\a01-020u-07-04.png,conference
Dataset\words\d04\d04-117\d04-117-05-04.png,""""
Dataset\words\d04\d04-021\d04-021-02-08.png,hardest
Dataset\words\a06\a06-141\a06-141-03-06.png,hardly
Dataset\words\c06\c06-076\c06-076-05-05.png,on
Dataset\words\b02\b02-105\b02-105-03-04.png,a
Dataset\words\c06\c06-091\c06-091-02-06.png,or
Dataset\words\e06\e06-037\e06-037-08-06.png,seems
Dataset\words\b05\b05-050\b05-050-08-00.png,instruments
Dataset\words\a02\a02-017\a02-017-02-09.png,Bell
Dataset\words\a03\a03-047\a03-047-01-06.png,orator
Dataset\words\a06\a06-004\a06-004-04-04.png,to
Dataset\words\c03\c03-087d\c03-087d-07-00.png,of
Dataset\words\d04\d04-111\d04-111-02-03.png,4
Dataset\words\c04\c04-075\c04-075-06-02.png,and
Dataset\words\b01\b01-000\b01-000-00-05.png,speaks
Dataset\words\b01\b01-033\b01-033-02-01.png,are
Dataset\words\d07\d07-093\d07-093-03-00.png,quoted
Dataset\words\b04\b04-054\b04-054-06-04.png,again
Dataset\words\a01\a01-132u\a01-132u-01-01.png,limited
Dataset\words\b06\b06-087\b06-087-07-04.png,being
Dataset\words\a03\a03-006\a03-006-00-05.png,the
Dataset\words\c03\c03-094f\c03-094f-08-08.png,Richards
Dataset\words\b04\b04-175\b04-175-02-04.png,prosperous
Dataset\words\c03\c03-000e\c03-000e-04-06.png,the
Dataset\words\a04\a04-096\a04-096-06-04.png,possibility
Dataset\words\a05\a05-094\a05-094-04-08.png,really
Dataset\words\b06\b06-045\b06-045-00-06.png,to
Dataset\words\e06\e06-015\e06-015-03-03.png,harder
Dataset\words\c03\c03-084a\c03-084a-01-03.png,full
Dataset\words\d04\d04-125\d04-125-00-05.png,the
Dataset\words\d07\d07-100\d07-100-00-02.png,text
Dataset\words\e01\e01-102\e01-102-01-00.png,the
Dataset\words\a02\a02-093\a02-093-07-01.png,Constitution
Dataset\words\a04\a04-023\a04-023-02-00.png,guests
Dataset\words\d03\d03-117\d03-117-08-04.png,the
Dataset\words\d06\d06-091\d06-091-06-03.png,on
Dataset\words\d07\d07-085\d07-085-07-00.png,with
Dataset\words\a01\a01-132\a01-132-03-01.png,Government
Dataset\words\a06\a06-000\a06-000-03-08.png,came
Dataset\words\a01\a01-007u\a01-007u-05-06.png,African
Dataset\words\d06\d06-041\d06-041-02-08.png,some-
Dataset\words\c03\c03-007e\c03-007e-07-08.png,an
Dataset\words\c04\c04-139\c04-139-00-10.png,everyday
Dataset\words\c04\c04-075\c04-075-05-01.png,piano
Dataset\words\c06\c06-031\c06-031-01-09.png,I
Dataset\words\a02\a02-027\a02-027-07-08.png,the
Dataset\words\a01\a01-128u\a01-128u-10-02.png,years
Dataset\words\b05\b05-055\b05-055-00-07.png,of
Dataset\words\d04\d04-012\d04-012-05-10.png,""""
Dataset\words\c03\c03-084d\c03-084d-00-01.png,Bryan
Dataset\words\a05\a05-099\a05-099-07-03.png,part
Dataset\words\c03\c03-021b\c03-021b-05-02.png,.
Dataset\words\a05\a05-104\a05-104-08-03.png,their
Dataset\words\d06\d06-050\d06-050-05-02.png,.
Dataset\words\b04\b04-081\b04-081-06-02.png,strike
Dataset\words\c04\c04-050\c04-050-04-02.png,Fred
Dataset\words\d04\d04-047\d04-047-07-04.png,to
Dataset\words\e01\e01-050\e01-050-02-00.png,convents
Dataset\words\d06\d06-100\d06-100-01-03.png,groove
Dataset\words\a01\a01-049u\a01-049u-01-00.png,sparked
Dataset\words\d04\d04-101\d04-101-02-03.png,of
Dataset\words\e04\e04-038\e04-038-01-09.png,","
Dataset\words\b02\b02-097\b02-097-00-11.png,is
Dataset\words\a06\a06-004\a06-004-03-03.png,to
Dataset\words\e02\e02-117\e02-117-03-00.png,work
Dataset\words\a01\a01-053x\a01-053x-07-05.png,Weaver's
Dataset\words\d03\d03-117\d03-117-05-07.png,the
Dataset\words\c06\c06-083\c06-083-06-04.png,his
Dataset\words\b01\b01-049\b01-049-02-02.png,of
Dataset\words\c04\c04-023\c04-023-04-08.png,crippled
Dataset\words\a01\a01-026\a01-026-06-06.png,","
Dataset\words\d04\d04-016\d04-016-02-02.png,is
Dataset\words\a01\a01-011x\a01-011x-08-06.png,policy
Dataset\words\e04\e04-008\e04-008-04-00.png,cut
Dataset\words\e01\e01-025\e01-025-09-01.png,completely
Dataset\words\e06\e06-049\e06-049-02-01.png,of
Dataset\words\c06\c06-116\c06-116-07-06.png,-
Dataset\words\e04\e04-034\e04-034-04-03.png,usual
Dataset\words\b04\b04-195\b04-195-04-01.png,vital
Dataset\words\c03\c03-081b\c03-081b-04-00.png,beautiful
Dataset\words\b03\b03-092\b03-092-01-09.png,sample
Dataset\words\a01\a01-049x\a01-049x-01-04.png,by
Dataset\words\b04\b04-181\b04-181-04-04.png,Denmark's
Dataset\words\a06\a06-064\a06-064-09-05.png,.
Dataset\words\c06\c06-058\c06-058-02-05.png,will
Dataset\words\a03\a03-063\a03-063-02-05.png,the
Dataset\words\c03\c03-087f\c03-087f-06-05.png,if
Dataset\words\d01\d01-123\d01-123-01-04.png,author
Dataset\words\a01\a01-132u\a01-132u-06-00.png,""""
Dataset\words\b06\b06-036\b06-036-02-02.png,Nato
Dataset\words\e04\e04-103\e04-103-03-09.png,.
Dataset\words\b06\b06-110\b06-110-02-01.png,denied
Dataset\words\d01\d01-123\d01-123-01-06.png,Mark
Dataset\words\a03\a03-063\a03-063-09-00.png,as
Dataset\words\c03\c03-021b\c03-021b-05-10.png,his
Dataset\words\c03\c03-084d\c03-084d-01-02.png,giving
Dataset\words\a02\a02-032\a02-032-01-01.png,let
Dataset\words\b04\b04-134\b04-134-09-03.png,time
Dataset\words\a04\a04-015\a04-015-03-07.png,once
Dataset\words\a06\a06-110\a06-110-00-02.png,when
Dataset\words\b06\b06-012\b06-012-02-01.png,through
Dataset\words\d06\d06-003\d06-003-02-10.png,appear
Dataset\words\a01\a01-043x\a01-043x-06-03.png,see
Dataset\words\c03\c03-000d\c03-000d-00-01.png,film
Dataset\words\d01\d01-085\d01-085-05-05.png,of
Dataset\words\e07\e07-000\e07-000-02-06.png,3
Dataset\words\a04\a04-000\a04-000-05-02.png,been
Dataset\words\a06\a06-119\a06-119-03-02.png,And
Dataset\words\b06\b06-087\b06-087-06-05.png,to
Dataset\words\c03\c03-087d\c03-087d-04-01.png,the
Dataset\words\a03\a03-034\a03-034-03-07.png,office
Dataset\words\a06\a06-141\a06-141-03-02.png,FRANCE
Dataset\words\a01\a01-122\a01-122-04-05.png,of
Dataset\words\a05\a05-062\a05-062-06-06.png,stand
Dataset\words\c02\c02-022\c02-022-00-04.png,up
Dataset\words\e04\e04-103\e04-103-01-05.png,Start
Dataset\words\b01\b01-113\b01-113-03-06.png,That
Dataset\words\b04\b04-020\b04-020-01-00.png,substantially
Dataset\words\c06\c06-039\c06-039-06-03.png,postage
Dataset\words\c04\c04-105\c04-105-02-06.png,.
Dataset\words\c03\c03-007b\c03-007b-02-04.png,.
Dataset\words\b04\b04-175\b04-175-02-05.png,days
Dataset\words\c06\c06-116\c06-116-06-03.png,So
Dataset\words\e04\e04-034\e04-034-07-01.png,suitable
Dataset\words\c04\c04-013\c04-013-06-00.png,title
Dataset\words\d06\d06-000\d06-000-06-04.png,with
Dataset\words\a06\a06-114\a06-114-07-01.png,the
Dataset\words\c04\c04-089\c04-089-00-11.png,own
Dataset\words\c06\c06-039\c06-039-06-05.png,into
Dataset\words\a01\a01-091\a01-091-01-05.png,were
Dataset\words\e01\e01-107\e01-107-00-05.png,made
Dataset\words\e06\e06-041\e06-041-07-03.png,plaice
Dataset\words\c03\c03-003b\c03-003b-03-05.png,characters
Dataset\words\d01\d01-098\d01-098-05-01.png,generally
Dataset\words\b06\b06-064\b06-064-09-05.png,a
Dataset\words\a04\a04-089\a04-089-04-00.png,the
Dataset\words\a02\a02-017\a02-017-04-06.png,month
Dataset\words\c03\c03-016c\c03-016c-06-02.png,is
Dataset\words\c03\c03-007f\c03-007f-05-07.png,worn
Dataset\words\a04\a04-035\a04-035-02-08.png,at
Dataset\words\a01\a01-003x\a01-003x-08-09.png,.
Dataset\words\a01\a01-026x\a01-026x-09-05.png,with
Dataset\words\a06\a06-025\a06-025-00-00.png,The
